"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R_INVERT2,R_INVERT1";"R_0805_2012Metric";2;"R";;;
2;"GND,I+,GND,I-,GND,V+,GND,V-";"TestPoint_THTPad_D2.0mm_Drill1.0mm";8;"Conn_01x01_Pin";;;
3;"C4,C1";"C_0805_2012Metric";2;"10u";;;
4;"J1";"USB_Micro-B_Amphenol_10103594-0001LF_Horizontal_modified";1;"USB_B_Micro";;;
5;"C10,C8";"C_0402_1005Metric";2;"1u";;;
6;"C13,C5,C9,C12,C14,C7,C11,C16,C6,C15";"C_0402_1005Metric";10;"100n";;;
7;"R2,R6";"R_0402_1005Metric";2;"10k";;;
8;"U1";"SOT-223-3_TabPin2";1;"NCP1117-3.3_SOT223";;;
9;"U2";"SOIC-8_5.3x5.3mm_P1.27mm";1;"W25Q128JVS";;;
10;"R1,R5";"R_0402_1005Metric";2;"1k";;;
11;"R3,R4";"R_0402_1005Metric";2;"27";;;
12;"U3";"RP2040-QFN-56";1;"RP2040";;;
13;"U4";"DSG0008A";1;"LM27761DSGR";;;
14;"C18,C20";"C_0805_2012Metric";2;"4.7u";;;
15;"C23,C26,C22,C25,C24,C28,C17,C27";"C_0805_2012Metric";8;"100n";;;
16;"H3,H2,H4,H1";"MountingHole_2.7mm_M2.5";4;"MountingHole";;;
17;"C2,C3";"C_0402_1005Metric";2;"15p";;;
18;"C21";"C_0805_2012Metric";1;"2.2u";;;
19;"C19";"C_0805_2012Metric";1;"1u";;;
20;"SW2,SW1";"pushbutton (1)";2;"SW_Push";;;
21;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"ABM8-272-T3";;;
22;"U8,U7,U5,U6";"CP_32_2_ADI";4;"ADG1606BCPZ-REEL7";;;
23;"J2";"PinSocket_1x16_P2.54mm_Vertical";1;"Conn_01x16_Pin";;;
